city,apartment_size,dining_frequency,car_type,commute_miles,rent,food,transportation,utilities,total_monthly_cost
NYC,studio,2,compact,5,2800,450,180,150,3580
NYC,1BR,4,sedan,10,3500,600,280,180,4560
NYC,2BR,6,suv,15,4500,750,380,220,5850
NYC,3BR,3,compact,8,5500,650,220,260,6630
NYC,studio,1,electric,3,2800,380,120,150,3450
LA,studio,3,compact,12,2200,420,220,130,2970
LA,1BR,5,sedan,18,2800,550,340,160,3850
LA,2BR,4,suv,25,3600,620,480,190,4890
LA,3BR,2,electric,15,4400,500,200,230,5330
LA,studio,6,sedan,20,2200,680,380,130,3390
Chicago,studio,2,compact,8,1800,380,150,140,2470
Chicago,1BR,4,sedan,12,2300,520,220,170,3210
Chicago,2BR,3,suv,10,3000,480,280,200,3960
Chicago,3BR,5,compact,15,3800,620,200,240,4860
Chicago,studio,1,electric,5,1800,350,100,140,2390
Austin,studio,4,compact,10,1600,400,180,120,2300
Austin,1BR,3,sedan,15,2000,450,260,150,2860
Austin,2BR,5,suv,20,2600,580,380,180,3740
Austin,3BR,2,electric,12,3200,420,160,210,3990
Austin,studio,6,sedan,18,1600,620,320,120,2660
Miami,studio,5,compact,8,2000,480,160,140,2780
Miami,1BR,3,sedan,12,2500,520,240,170,3430
Miami,2BR,4,suv,15,3200,600,340,200,4340
Miami,3BR,2,compact,10,4000,450,180,240,4870
Miami,studio,1,electric,5,2000,380,100,140,2620
Seattle,studio,2,compact,10,2400,420,200,130,3150
Seattle,1BR,4,sedan,15,3000,550,300,160,4010
Seattle,2BR,3,suv,12,3800,500,350,190,4840
Seattle,3BR,5,electric,8,4600,650,150,230,5630
Seattle,studio,1,compact,6,2400,360,140,130,3030
Boston,studio,3,compact,8,2600,450,170,150,3370
Boston,1BR,2,sedan,12,3200,480,250,180,4110
Boston,2BR,4,suv,15,4000,580,360,210,5150
Boston,3BR,5,compact,10,4800,650,200,250,5900
Boston,studio,1,electric,5,2600,380,110,150,3240
Denver,studio,4,compact,12,1800,400,200,120,2520
Denver,1BR,3,sedan,18,2300,480,300,150,3230
Denver,2BR,2,suv,15,2900,440,350,180,3870
Denver,3BR,5,electric,10,3500,600,180,210,4490
Denver,studio,1,compact,8,1800,350,160,120,2430
Dallas,studio,5,compact,15,1500,420,220,110,2250
Dallas,1BR,3,sedan,20,1900,480,320,140,2840
Dallas,2BR,4,suv,25,2400,560,440,170,3570
Dallas,3BR,2,compact,12,3000,420,200,200,3820
Dallas,studio,6,electric,10,1500,600,150,110,2360
Phoenix,studio,3,compact,18,1400,380,260,130,2170
Phoenix,1BR,4,sedan,22,1800,480,340,160,2780
Phoenix,2BR,2,suv,15,2300,420,380,190,3290
Phoenix,3BR,5,compact,12,2800,580,220,220,3820
Phoenix,studio,1,electric,8,1400,340,120,130,1990
NYC,1BR,3,compact,7,3500,520,200,180,4400
NYC,2BR,5,electric,12,4500,680,180,220,5580
LA,1BR,2,compact,10,2800,420,200,160,3580
LA,2BR,6,sedan,22,3600,720,400,190,4910
Chicago,1BR,3,electric,6,2300,460,100,170,3030
Chicago,2BR,5,compact,14,3000,600,180,200,3980
Austin,1BR,4,electric,8,2000,520,120,150,2790
Austin,2BR,3,compact,16,2600,480,240,180,3500
Miami,1BR,4,electric,6,2500,560,100,170,3330
Miami,2BR,2,sedan,14,3200,440,280,200,4120
Seattle,1BR,3,electric,10,3000,480,140,160,3780
Seattle,2BR,5,compact,8,3800,620,160,190,4770
Boston,1BR,4,electric,7,3200,560,120,180,4060
Boston,2BR,3,sedan,14,4000,500,280,210,4990
Denver,1BR,2,electric,10,2300,420,140,150,3010
Denver,2BR,4,compact,14,2900,540,200,180,3820
Dallas,1BR,4,electric,12,1900,540,160,140,2740
Dallas,2BR,3,sedan,18,2400,480,300,170,3350
Phoenix,1BR,3,electric,14,1800,440,180,160,2580
Phoenix,2BR,4,sedan,20,2300,540,320,190,3350
